phase1_index,race_id,lane,label,status,pose_path,pose_schema
27,Speed_finals_Chamonix_2024_race014,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race014_pose.json,single_athlete
28,Speed_finals_Chamonix_2024_race015,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race015_pose.json,single_athlete
29,Speed_finals_Chamonix_2024_race015,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race015_pose.json,single_athlete
30,Speed_finals_Chamonix_2024_race016,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race016_pose.json,single_athlete
31,Speed_finals_Chamonix_2024_race016,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race016_pose.json,single_athlete
32,Speed_finals_Chamonix_2024_race017,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Chamonix_2024_race017_poses.json,dual_lane
33,Speed_finals_Chamonix_2024_race017,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Chamonix_2024_race017_poses.json,dual_lane
34,Speed_finals_Chamonix_2024_race018,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race018_pose.json,single_athlete
35,Speed_finals_Chamonix_2024_race018,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race018_pose.json,single_athlete
36,Speed_finals_Chamonix_2024_race019,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race019_pose.json,single_athlete
37,Speed_finals_Chamonix_2024_race019,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race019_pose.json,single_athlete
38,Speed_finals_Chamonix_2024_race020,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race020_pose.json,single_athlete
39,Speed_finals_Chamonix_2024_race020,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race020_pose.json,single_athlete
40,Speed_finals_Chamonix_2024_race021,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race021_pose.json,single_athlete
41,Speed_finals_Chamonix_2024_race021,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race021_pose.json,single_athlete
42,Speed_finals_Chamonix_2024_race022,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race022_pose.json,single_athlete
43,Speed_finals_Chamonix_2024_race022,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race022_pose.json,single_athlete
44,Speed_finals_Chamonix_2024_race023,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race023_pose.json,single_athlete
45,Speed_finals_Chamonix_2024_race024,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Chamonix_2024_race024_poses.json,dual_lane
46,Speed_finals_Chamonix_2024_race024,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Chamonix_2024_race024_poses.json,dual_lane
47,Speed_finals_Chamonix_2024_race025,left,beginner,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race025_pose.json,single_athlete
48,Speed_finals_Chamonix_2024_race026,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race026_pose.json,single_athlete
49,Speed_finals_Chamonix_2024_race026,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race026_pose.json,single_athlete
50,Speed_finals_Chamonix_2024_race027,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race027_pose.json,single_athlete
51,Speed_finals_Chamonix_2024_race027,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race027_pose.json,single_athlete
52,Speed_finals_Chamonix_2024_race028,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race028_pose.json,single_athlete
53,Speed_finals_Chamonix_2024_race028,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race028_pose.json,single_athlete
54,Speed_finals_Chamonix_2024_race029,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race029_pose.json,single_athlete
55,Speed_finals_Chamonix_2024_race029,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race029_pose.json,single_athlete
56,Speed_finals_Chamonix_2024_race030,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race030_pose.json,single_athlete
57,Speed_finals_Chamonix_2024_race030,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race030_pose.json,single_athlete
58,Speed_finals_Chamonix_2024_race031,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race031_pose.json,single_athlete
59,Speed_finals_Chamonix_2024_race032,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race032_pose.json,single_athlete
60,Speed_finals_Innsbruck_2024_race001,left,advanced,missing_pose,,
61,Speed_finals_Innsbruck_2024_race001,right,advanced,missing_pose,,
62,Speed_finals_Innsbruck_2024_race002,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race002_pose.json,single_athlete
63,Speed_finals_Innsbruck_2024_race002,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race002_pose.json,single_athlete
64,Speed_finals_Innsbruck_2024_race003,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Innsbruck_2024_race003_poses.json,dual_lane
65,Speed_finals_Innsbruck_2024_race003,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Innsbruck_2024_race003_poses.json,dual_lane
66,Speed_finals_Innsbruck_2024_race004,left,advanced,missing_pose,,
67,Speed_finals_Innsbruck_2024_race005,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race005_pose.json,single_athlete
68,Speed_finals_Innsbruck_2024_race005,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race005_pose.json,single_athlete
69,Speed_finals_Innsbruck_2024_race006,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race006_pose.json,single_athlete
70,Speed_finals_Innsbruck_2024_race006,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race006_pose.json,single_athlete
71,Speed_finals_Innsbruck_2024_race007,left,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race007_pose.json,single_athlete
72,Speed_finals_Innsbruck_2024_race007,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race007_pose.json,single_athlete
73,Speed_finals_Innsbruck_2024_race008,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race008_pose.json,single_athlete
74,Speed_finals_Innsbruck_2024_race008,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race008_pose.json,single_athlete
75,Speed_finals_Innsbruck_2024_race009,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race009_pose.json,single_athlete
76,Speed_finals_Innsbruck_2024_race009,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race009_pose.json,single_athlete
77,Speed_finals_Innsbruck_2024_race010,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race010_pose.json,single_athlete
78,Speed_finals_Innsbruck_2024_race011,left,advanced,missing_pose,,
79,Speed_finals_Innsbruck_2024_race011,right,advanced,missing_pose,,
80,Speed_finals_Innsbruck_2024_race012,left,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race012_pose.json,single_athlete
81,Speed_finals_Innsbruck_2024_race012,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race012_pose.json,single_athlete
82,Speed_finals_Innsbruck_2024_race013,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race013_pose.json,single_athlete
83,Speed_finals_Innsbruck_2024_race013,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race013_pose.json,single_athlete
84,Speed_finals_Innsbruck_2024_race014,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race014_pose.json,single_athlete
85,Speed_finals_Innsbruck_2024_race014,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race014_pose.json,single_athlete
86,Speed_finals_Innsbruck_2024_race015,left,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race015_pose.json,single_athlete
87,Speed_finals_Innsbruck_2024_race015,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race015_pose.json,single_athlete
88,Speed_finals_Innsbruck_2024_race016,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race016_pose.json,single_athlete
89,Speed_finals_Innsbruck_2024_race017,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race017_pose.json,single_athlete
90,Speed_finals_Innsbruck_2024_race018,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race018_pose.json,single_athlete
91,Speed_finals_Innsbruck_2024_race018,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race018_pose.json,single_athlete
92,Speed_finals_Innsbruck_2024_race019,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race019_pose.json,single_athlete
93,Speed_finals_Innsbruck_2024_race019,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race019_pose.json,single_athlete
94,Speed_finals_Innsbruck_2024_race020,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race020_pose.json,single_athlete
95,Speed_finals_Innsbruck_2024_race020,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race020_pose.json,single_athlete
96,Speed_finals_Innsbruck_2024_race021,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race021_pose.json,single_athlete
97,Speed_finals_Innsbruck_2024_race021,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race021_pose.json,single_athlete
98,Speed_finals_Innsbruck_2024_race023,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race023_pose.json,single_athlete
99,Speed_finals_Innsbruck_2024_race023,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race023_pose.json,single_athlete
100,Speed_finals_Innsbruck_2024_race024,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race024_pose.json,single_athlete
101,Speed_finals_Innsbruck_2024_race024,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race024_pose.json,single_athlete
102,Speed_finals_Innsbruck_2024_race025,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race025_pose.json,single_athlete
103,Speed_finals_Innsbruck_2024_race025,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race025_pose.json,single_athlete
104,Speed_finals_Innsbruck_2024_race026,left,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race026_pose.json,single_athlete
105,Speed_finals_Innsbruck_2024_race026,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race026_pose.json,single_athlete
106,Speed_finals_Innsbruck_2024_race027,left,beginner,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race027_pose.json,single_athlete
107,Speed_finals_Innsbruck_2024_race027,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race027_pose.json,single_athlete
108,Speed_finals_Innsbruck_2024_race028,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race028_pose.json,single_athlete
109,Speed_finals_Innsbruck_2024_race028,right,beginner,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race028_pose.json,single_athlete
110,Speed_finals_Innsbruck_2024_race029,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race029_pose.json,single_athlete
111,Speed_finals_Innsbruck_2024_race029,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race029_pose.json,single_athlete
112,Speed_finals_Innsbruck_2024_race030,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race030_pose.json,single_athlete
113,Speed_finals_Innsbruck_2024_race030,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race030_pose.json,single_athlete
114,Speed_finals_Innsbruck_2024_race031,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Innsbruck_2024_race031_poses.json,dual_lane
115,Speed_finals_Innsbruck_2024_race031,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/samples/Speed_finals_Innsbruck_2024_race031_poses.json,dual_lane
116,Speed_finals_Innsbruck_2024_race032,right,advanced,single_lane_uncertain:center,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race032_pose.json,single_athlete
117,Speed_finals_Seoul_2024_race001,left,beginner,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race001_pose.json,single_athlete
118,Speed_finals_Seoul_2024_race001,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race001_pose.json,single_athlete
119,Speed_finals_Seoul_2024_race002,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race002_pose.json,single_athlete
120,Speed_finals_Seoul_2024_race002,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race002_pose.json,single_athlete
121,Speed_finals_Seoul_2024_race003,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race003_pose.json,single_athlete
122,Speed_finals_Seoul_2024_race003,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race003_pose.json,single_athlete
123,Speed_finals_Seoul_2024_race004,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race004_pose.json,single_athlete
124,Speed_finals_Seoul_2024_race005,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race005_pose.json,single_athlete
125,Speed_finals_Seoul_2024_race005,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race005_pose.json,single_athlete
126,Speed_finals_Seoul_2024_race006,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race006_pose.json,single_athlete
